fill_3	เพมเตม ครงท	phemtem khrongt
fill_1	ลงวนท	lo-ngwant
fill_2	รวมเอกสารจานวนทงสน	ruam-ekkasanchanuanthongson
comb_1	โปรดระบเลขทบตรประจาตวประชาชน	protraplektphatprachatataaprachachon
fill_4	๑.๑ ชอ-นามสกล	cocho cho namsakon
fill_5	๑.๒ ทอย	cocho thoi
undefined	undefined	yaithaitaaaaa
fill_7	โทรศพท	sorotphot
fill_8	โทรสาร	thorsan
fill_9	๑.๓ อาชพ	cocho achop
fill_10	สถานททางาน	sathantha-ngan
fill_11	โทรศพท	sorotphot
fill_12	๑.๔ สถานทสะดวกในการตดตอ	cocho sathanthasaduaknaikattotto
fill_13	๑.๕ หลกฐานทใชในการทาธรกรรม	cocho lokthanthachaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaich
fill_57	บตรประจาตวประชาชน	botprachataprachachon
fill_56	ขาราชการ	kharatchakan
fill_55	พนกงานรฐวสาหกจ	phanoknganonthawasahakot
fill_14	โทรศพท	sorotphot
fill_15	โทรสาร	thorsan
fill_16	เลขท	lekha
fill_17	ออกใหโดย	okhaidoi
fill_18	เมอ	moe
fill_19	หมดอาย	mot-ai
fill_54	สวนท ๒. ผรวมทาธรกรรม ผมอบหมาย หรอผมอบอานาจ	sawant chut phruamthatharakam phamopmai rophamop-anat
comb_2	ผรวมทาธรกรรม	phruamthatharakam
fill_20	๒.๑ ชอ	cocho cho
fill_21	สถานทตง	sathanthot
fill_22	๒.๒ ทอย	cocho thoi
fill_23	โทรศพท	sorotphot
fill_24	โทรสาร	thorsan
fill_25	๒.๓ อาชพ	cocho achop
fill_26	สถานททางาน	sathantha-ngan
fill_27	โทรศพท	sorotphot
fill_28	ในกรณเปนนตบคคลใหระบประเภทการประกอบการ	naikronpennotkhonrairairairairairairairairairairairairairairairairairairairairairairairairairairaira
fill_29	๒.๔ สถานทสะดวกในการตดตอ	cocho sathanthasaduaknaikattotto
fill_30	๒.๕ หลกฐานทใชในการทาธรกรรม	cocho lokthanthachaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaichaich
fill_60	บตรประจาตวประชาชน	botprachataprachachon
fill_59	ขาราชการ	kharatchakan
fill_58	พนกงานรฐวสาหกจ	phanoknganonthawasahakot
fill_31	โทรศพท	sorotphot
fill_32	โทรสาร	thorsan
fill_33	เลขท	lekha
fill_34	ออกใหโดย	okhaidoi
fill_35	เมอ	moe
fill_36	หมดอาย	mot-ai
fill_37	วนททาธรกรรม	wonthatharakam
fill_38	เดอน	doen
fill_39	พ.ศ	phosa
comb_3	เขาบญชเลขท	khaobonchalekhot
comb_5	บญชทเกยวของ	bonchokhayakkoeokhong
fill_48	จานวน (บาท)_ฝาก งน  ซอตราสารการเงน  เชค  ดราฟต  อนๆ  ซอเงนตราตางประเทศ (โปรดระบสกลเงน)  อนๆ(ระบ) เขาบญชเลขท บญชทเกยวของ (หากม)	chanuan phabat afak ngon a sottrasankanngon a chek a drafot a ano a so-ngentratangprathet phaprotrapsakonngn a anophrabo khaobonchalekhot bonchokhayakkoeokhong phahakmo
comb_4	จากบญชเลขท	chakbonchalekhot
comb_6	บญชทเกยวของ	bonchokhayakkoeokhong
fill_40	อนๆ	ano
fill_41	อนๆ	ano
fill_42	อนๆ(ระบ	anophrap
fill_43	อนๆ(ระบ	anophrap
undefined_2	undefined	yaithaitaaaaa
fill_49	จานวน (บาท)_Row_1	chanuan phabat tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha t
fill_45	รวมเงน	ruamngen
fill_50	จานวน (บาท)_	chanuan phabatha a
fill_51	จานวน (บาท)_Row_2	chanuan phabat tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha tha t
fill_46	๓.๒ ชอผรบประโยชนในการทาธรกรรม (ถาม	cocho chophropprayotchannaiathaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa phatham
fill_47	๓.๓ วตถประสงคในการทาธรกรรม	cocho wottpharasongkhanaikanthathaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
fill_1_2	การรายงานทงหมดในชอง  “รวมเอกสารจานวนทงสน	kanrai-nganthongmotnaichong a ruam-ekkasanchanuanthongson
fill_52	แบบรายงานการทาธรกรรมทใชเงนสด	baeprai-ngankanthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatthatt
Check Box2		
Check Box3		
Check Box4		
Check Box5		
Check Box6		
Check Box7		
Check Box8		
Check Box9		
Check Box10		
Check Box11		
Check Box12		
Check Box13		
Check Box14		
Check Box15		
Check Box16		
Check Box17		
Check Box18		
Check Box19		
Check Box20		
Check Box21		
Check Box22		
Check Box23		
Check Box24		
Check Box25		
Check Box26		
Check Box27		
Check Box28		
Check Box29		
Check Box30		
Check Box31		
Check Box32		
Check Box33		
