page,field_name,type,nearby_th_label
1,fill_52,text,报告编号 [金融机构代码]-[分支代码]-[佛教纪年年份]-[报告序号]
1,Check Box61,checkbox,รายงานฉบับหลัก
1,Check Box62,checkbox,รายงานแกไข
1,fill_51,text,เพิ่มเติม ครั้งท
1,fill_56,text,ลงวันท
1,fill_1,text,รวมเอกสารจํานวนทั้งสิ้น
1,comb_1,text,交易办理人身份证号码
1,fill_2,text,๑.๑ ชื่อ-นามสกุล
1,Check Box63,checkbox,ทําธุรกรรมดวยตนเอง (หากมีผูรวมทําธุรกรรม ใหระบุรายละเอียดของผูรวมทําธุรกรรมในสวนที่ ๒ ดวย)
1,Check Box64,checkbox,ทําธุรกรรมแทนผูอื่น 
1,fill_3、fill_3_1,text,๑.๒ ที่อยู
1,fill_5,text,โทรศัพท
1,fill_6,text,โทรสาร
1,fill_7,text,๑.๓ อาชีพ
1,fill_8,text,สถานที่ทํางาน
1,fill_9,text,โทรศัพท
1,fill_10、fill_11,text,๑.๔ สถานที่สะดวกในการติดตอ
1,fill_12,text,โทรศัพท
1,fill_13,text,โทรสาร
1,Check Box65,checkbox,บัตรประจําตัวประชาชน/ขาราชการ/พนักงานรัฐวิส
1,Check Box66,checkbox,หนังสือเดินทาง
1,Check Box67,checkbox,ใบสําคัญประจําตัวคนตางด
1,Check Box68,checkbox,อื่นๆ (โปรดระบุ)
1,fill_54,text,อื่นๆ (โปรดระบุ)
1,fill_14,text,เลขที่
1,fill_15,text,ออกใหโดย
1,fill_16,text,เมื่อ
1,fill_17,text,หมดอาย
1,Check Box69,checkbox,ผูรวมทําธุรกรรม
1,Check Box70,checkbox,ผูมอบหมาย
1,Check Box71,checkbox,ผูมอบอํานาจ
1,comb_2,text,共同交易人身份证号码
1,fill_18,text,๒.๑ ชื่อ
1,fill_19、file_19_1,text,๒.๒ ที่อยู/สถานที่ตั้ง
1,fill_21,text,โทรศัพท
1,fill_22,text,โทรสาร
1,fill_23,text,๒.๓ อาชีพ
1,fill_24,text,สถานที่ทํางาน
1,fill_25,text,โทรศัพท
1,fill_26,text,กรณีเปนนิติบุคคลใหระบุลักษณะการประกอบการ
1,fill_27、fill_27_1,text,๒.๔ สถานที่สะดวกในการติดตอ
1,fill_29,text,โทรศัพท
1,fill_30,text,โทรสาร
1,Check Box72,checkbox,บัตรประจําตัวประชาชน/ขาราชการ/พนักงานรัฐวิสาหกิจ
1,Check Box73,checkbox,หนังสือเดินทาง
1,Check Box74,checkbox,ใบสําคัญประจําตัวคนตางด
1,Check Box75,checkbox,หนังสือรับรองขอความในทะเบียนที่นายทะเบียนออกใหไมเกิน ๑ เดือน
1,Check Box76,checkbox,อื่นๆ (โปรดระบุ) 
1,fill_57,text,อื่นๆ (โปรดระบุ)
1,fill_31,text,เลขที่
1,fill_32,text,ออกใหโดย
1,fill_33,text,เมื่อ
1,fill_34,text,หมดอายุ
1,fill_35,text,วันที่ทําธุรกรรม
1,fill_36,text,เดือน
1,fill_37,text,พ.ศ.
1,fill_38,text,๓.๑ มูลคาของธุรกรรม
1,fill_39,text,หากเปนเงินตราตางประเทศ โปรดระบุจํานวนและสกุลเง
1,fill_53,text,จํานวนเงินที่เปนตัวอักษร 
1,Check Box77,checkbox,ธุรกรรมที่ใชเงินสด (โปรดระบุประเภทธุรกรรม
1,fill_58,text,ธุรกรรมที่ใชเงินสด (โปรดระบุประเภทธุรกรรม)
1,Check Box78,checkbox,ธุรกรรมเกี่ยวกับทรัพยสิน (โปรดระบุประเภททรัพยสิน)
1,fill_59,text,สถานที่ทํางาน
1,comb_3,text,๓.๓ เลขที่บัญชีที่ทําธุรกรรม
1,fill_40,text,ชื่อบัญชี
1,t1,text,ชื่อเจาของบัญช
1,comb_4,text,๓.๔ บัญชีที่เกี่ยวของ (หากมี) 
1,fill_42,text,ชื่อบัญชี
1,t2,text,ชื่อเจาของบัญช
1,fill_44、fill_45,text,เกี่ยวของโดย
1,fill_46,text,๓.๕ ชื่อผูรับประโยชนในการทําธุรกรรม
1,fill_47,text,๓.๖ วัตถุประสงคในการทําธุรกรรม
1,fill_49,text,报告编号：[金融机构代码]-[分支代码]-[佛教纪年年份]-[报告序号]
2,m_1,text,
2,m_2,text,
2,m_3,text,
2,m_4,text,
2,m_5,text,
2,m_6,text,
2,m_7,text,
2,m_8,text,
2,m_9,text,
2,m_10,text,
2,m_11,text,
2,m_12,text,
2,m_13,text,
2,fill_14_2,text,แผน”
